日期,时间,金价(USD/盎司),金价(CNY/克)
2026-02-09,11:05:00,5019.60,1120.00
2026-02-09,11:05:00,5019.60,1120.00
2026-02-09,11:10:00,5019.50,1119.98
2026-02-09,11:15:00,5021.30,1120.38
2026-02-09,11:20:00,5019.50,1119.98
2026-02-09,11:25:00,5022.90,1120.74
2026-02-09,11:30:00,5025.50,1121.32
2026-02-09,11:35:00,5024.20,1121.03
2026-02-09,11:40:00,5024.70,1121.14
2026-02-09,11:45:00,5022.80,1120.72
2026-02-09,11:50:00,5022.30,1120.61
2026-02-09,11:55:00,5021.20,1120.36
2026-02-09,12:00:00,5021.20,1120.36
2026-02-09,12:05:00,5021.10,1120.34
2026-02-09,12:10:00,5024.20,1121.03
2026-02-09,12:15:00,5021.60,1120.45
2026-02-09,12:20:00,5020.70,1120.25
2026-02-09,12:25:00,5019.60,1120.00
2026-02-09,12:30:00,5018.10,1119.67
2026-02-09,12:35:00,5019.50,1119.98
2026-02-09,12:40:00,5021.50,1120.43
2026-02-09,12:45:00,5016.70,1119.36
2026-02-09,12:50:00,5013.90,1118.73
2026-02-09,12:55:00,5013.80,1118.71
2026-02-09,13:00:00,5014.20,1118.80
2026-02-09,13:05:00,5015.50,1119.09
2026-02-09,13:10:00,5020.50,1120.20
2026-02-09,13:15:00,5020.20,1120.14
2026-02-09,13:20:00,5023.80,1120.94
2026-02-09,13:25:00,5026.70,1121.59
2026-02-09,13:30:00,5031.00,1122.55
2026-02-09,13:35:00,5032.80,1122.95
2026-02-09,13:40:00,5036.10,1123.68
2026-02-09,13:45:00,5029.00,1122.10
2026-02-09,13:50:00,5031.80,1122.73
2026-02-09,13:55:00,5039.00,1124.33
2026-02-09,14:00:00,5041.80,1124.96
2026-02-09,14:05:00,5044.20,1125.49
2026-02-09,14:10:00,5039.20,1124.38
2026-02-09,14:15:00,5037.30,1123.95
2026-02-09,14:20:00,5023.20,1120.81
2026-02-09,14:25:00,5027.20,1121.70
2026-02-09,14:30:00,5030.60,1122.46
2026-02-09,14:35:00,5027.00,1121.65
2026-02-09,14:40:00,5028.30,1121.94
2026-02-09,14:45:00,5034.60,1123.35
2026-02-09,14:50:00,5032.30,1122.84
2026-02-09,14:55:00,5040.70,1124.85
2026-02-09,15:00:00,5026.10,1123.47
2026-02-09,15:05:00,5026.80,1121.61
2026-02-09,15:10:00,5020.90,1119.26
2026-02-09,15:15:00,5012.10,1118.33
2026-02-09,15:20:00,5004.20,1116.57
2026-02-09,15:25:00,5005.40,1116.83
2026-02-09,15:30:00,5014.60,1118.89
2026-02-09,15:35:00,5011.80,1118.26
2026-02-09,15:40:00,5013.20,1118.58
2026-02-09,15:45:00,5013.60,1118.66
2026-02-09,15:50:00,5004.70,1116.68
2026-02-09,15:55:00,5004.80,1116.70
2026-02-09,16:00:00,5007.70,1117.35
2026-02-09,16:05:00,5016.60,1119.33
2026-02-09,16:10:00,5020.10,1120.11
2026-02-09,16:15:00,5018.90,1119.85
2026-02-09,16:20:00,5026.70,1121.59
2026-02-09,16:25:00,5031.40,1122.64
2026-02-09,16:30:00,5028.10,1121.90
2026-02-09,16:35:00,5026.80,1121.61
