日期,时间,金价(USD),金价(CNY)
2026-06-01,00:00:00,4540.30,991.16
2026-06-01,00:05:00,4540.30,991.16
2026-06-01,00:10:00,4540.30,991.16
2026-06-01,00:15:00,4540.30,991.16
2026-06-01,00:20:00,4540.30,991.16
2026-06-01,00:25:00,4540.30,991.16
2026-06-01,00:30:00,4540.30,991.16
2026-06-01,00:35:00,4540.30,991.16
2026-06-01,00:40:00,4540.30,991.16
2026-06-01,00:45:00,4540.30,991.16
2026-06-01,00:50:00,4540.30,991.16
2026-06-01,00:55:00,4540.30,991.16
2026-06-01,01:00:00,4540.30,991.16
2026-06-01,01:05:00,4540.30,991.16
2026-06-01,01:10:00,4540.30,991.16
2026-06-01,01:15:00,4540.30,991.16
2026-06-01,01:20:00,4540.30,991.16
2026-06-01,01:25:00,4540.30,991.16
2026-06-01,01:30:00,4540.30,991.16
2026-06-01,01:35:00,4540.30,991.16
2026-06-01,01:40:00,4540.30,991.16
2026-06-01,01:45:00,4540.30,991.16
2026-06-01,01:50:00,4540.30,991.16
2026-06-01,01:55:00,4540.30,991.16
2026-06-01,02:00:00,4540.30,991.16
2026-06-01,02:05:00,4540.30,991.16
2026-06-01,02:10:00,4540.30,991.16
2026-06-01,02:15:00,4540.30,991.16
2026-06-01,02:20:00,4540.30,991.16
2026-06-01,02:25:00,4540.30,991.16
2026-06-01,02:30:00,4540.30,991.16
2026-06-01,02:35:00,4540.30,991.16
2026-06-01,02:40:00,4540.30,991.16
2026-06-01,02:45:00,4540.30,991.16
2026-06-01,02:50:00,4540.30,991.16
2026-06-01,02:55:00,4540.30,991.16
2026-06-01,03:00:00,4540.30,991.16
2026-06-01,03:05:00,4540.30,991.16
2026-06-01,03:10:00,4540.30,991.16
2026-06-01,03:15:00,4540.30,991.16
2026-06-01,03:20:00,4540.30,991.16
2026-06-01,03:25:00,4540.30,991.16
2026-06-01,03:30:00,4540.30,991.16
2026-06-01,03:35:00,4540.30,991.16
2026-06-01,03:40:00,4540.30,991.16
2026-06-01,03:45:00,4540.30,991.16
2026-06-01,03:50:00,4540.30,991.16
2026-06-01,03:55:00,4540.30,991.16
2026-06-01,04:00:00,4540.30,991.16
2026-06-01,04:05:00,4540.30,991.16
2026-06-01,04:10:00,4540.30,991.16
2026-06-01,04:15:00,4540.30,991.16
2026-06-01,04:20:00,4540.30,991.16
2026-06-01,04:25:00,4540.30,991.16
2026-06-01,04:30:00,4540.30,991.16
2026-06-01,04:35:00,4540.30,991.16
2026-06-01,04:40:00,4540.30,991.16
2026-06-01,04:45:00,4540.30,991.16
2026-06-01,04:50:00,4540.30,991.16
2026-06-01,04:55:00,4540.30,991.16
2026-06-01,05:00:00,4540.30,991.16
2026-06-01,05:05:00,4540.30,991.16
2026-06-01,05:10:00,4540.30,991.16
2026-06-01,05:15:00,4540.30,991.16
2026-06-01,05:20:00,4540.30,991.16
2026-06-01,05:25:00,4540.30,991.16
2026-06-01,05:30:00,4540.30,991.16
2026-06-01,05:35:00,4540.30,991.16
2026-06-01,05:40:00,4540.30,991.16
2026-06-01,05:45:00,4540.30,991.16
2026-06-01,05:50:00,4540.30,991.16
2026-06-01,05:55:00,4540.30,991.16
2026-06-01,06:00:00,4540.30,991.16
2026-06-01,06:05:00,4522.20,987.21
2026-06-01,06:10:00,4526.10,988.06
2026-06-01,06:15:00,4535.00,990.01
2026-06-01,06:20:00,4536.40,990.31
2026-06-01,06:25:00,4533.50,989.68
2026-06-01,06:30:00,4534.50,989.90
2026-06-01,06:35:00,4536.20,990.27
2026-06-01,06:40:00,4535.20,990.05
2026-06-01,06:45:00,4535.40,990.09
2026-06-01,06:50:00,4540.10,991.12
2026-06-01,06:55:00,4537.10,990.46
2026-06-01,07:00:00,4538.90,990.86
2026-06-01,07:05:00,4540.80,991.27
2026-06-01,07:10:00,4541.20,991.36
2026-06-01,07:15:00,4543.70,991.91
2026-06-01,07:20:00,4543.90,991.95
2026-06-01,07:25:00,4542.30,991.60
2026-06-01,07:30:00,4545.80,992.36
2026-06-01,07:35:00,4543.70,991.91
2026-06-01,07:40:00,4541.90,991.51
2026-06-01,07:45:00,4542.30,991.60
2026-06-01,07:50:00,4541.20,991.36
2026-06-01,07:55:00,4544.70,992.12
2026-06-01,00:05:00,4542.50,988.72
2026-06-01,00:10:00,4542.90,988.81
2026-06-01,00:15:00,4541.90,988.59
2026-06-01,00:20:00,4539.80,988.13
2026-06-01,00:25:00,4542.10,988.64
2026-06-01,00:30:00,4545.50,989.38
2026-06-01,00:35:00,4539.10,987.98
2026-06-01,00:40:00,4538.20,987.79
2026-06-01,00:45:00,4537.70,987.68
2026-06-01,00:50:00,4542.70,988.77
2026-06-01,00:55:00,4540.70,988.33
2026-06-01,00:00:00,4539.50,988.07
2026-06-01,00:05:00,4534.20,986.92
2026-06-01,00:10:00,4530.00,986.00
2026-06-01,00:15:00,4534.00,986.87
2026-06-01,00:20:00,4532.70,986.59
2026-06-01,00:25:00,4536.70,987.46
2026-06-01,00:30:00,4529.30,985.85
2026-06-01,00:35:00,4531.20,986.26
2026-06-01,00:40:00,4530.20,986.05
2026-06-01,00:45:00,4534.30,986.94
2026-06-01,00:50:00,4530.40,986.09
2026-06-01,00:55:00,4530.10,986.02
2026-06-01,10:00:00,4527.20,985.39
2026-06-01,10:05:00,4526.30,985.20
2026-06-01,10:10:00,4531.80,986.39
2026-06-01,10:15:00,4533.80,986.83
2026-06-01,10:20:00,4533.40,986.74
2026-06-01,10:25:00,4532.30,986.50
2026-06-01,10:30:00,4531.20,986.26
2026-06-01,10:35:00,4528.00,985.57
2026-06-01,10:40:00,4529.10,985.81
