时间,金价(USD/盎司),金价(CNY/克)
00:00:00,5022.5 USD/oz,1119.04 CNY/克
00:05:00,5017.0 USD/oz,1117.81 CNY/克
00:10:00,5014.2 USD/oz,1117.19 CNY/克
00:15:00,5023.8 USD/oz,1119.33 CNY/克
00:20:00,5024.8 USD/oz,1119.55 CNY/克
00:25:00,5012.8 USD/oz,1116.87 CNY/克
00:30:00,5018.1 USD/oz,1118.06 CNY/克
00:35:00,5020.0 USD/oz,1118.48 CNY/克
00:40:00,5020.7 USD/oz,1118.63 CNY/克
00:45:00,5018.0 USD/oz,1118.03 CNY/克
00:50:00,5022.5 USD/oz,1119.04 CNY/克
00:55:00,5024.2 USD/oz,1119.41 CNY/克
01:00:00,5023.8 USD/oz,1119.33 CNY/克
01:05:00,5027.5 USD/oz,1120.15 CNY/克
01:10:00,5024.5 USD/oz,1119.48 CNY/克
01:15:00,5027.0 USD/oz,1120.04 CNY/克
01:20:00,5034.3 USD/oz,1121.66 CNY/克
01:25:00,5033.6 USD/oz,1121.51 CNY/克
01:30:00,5038.8 USD/oz,1122.67 CNY/克
01:35:00,5035.8 USD/oz,1122.0 CNY/克
01:40:00,5034.4 USD/oz,1121.69 CNY/克
01:45:00,5040.0 USD/oz,1122.93 CNY/克
01:50:00,5032.7 USD/oz,1121.31 CNY/克
01:55:00,5030.0 USD/oz,1120.71 CNY/克
02:00:00,5029.9 USD/oz,1120.68 CNY/克
02:05:00,5025.2 USD/oz,1119.64 CNY/克
02:10:00,5022.6 USD/oz,1119.06 CNY/克
02:15:00,5015.7 USD/oz,1117.52 CNY/克
02:20:00,5016.0 USD/oz,1117.59 CNY/克
02:25:00,5012.0 USD/oz,1116.7 CNY/克
02:30:00,5008.6 USD/oz,1115.94 CNY/克
02:35:00,5009.8 USD/oz,1116.21 CNY/克
02:40:00,5015.0 USD/oz,1117.36 CNY/克
02:45:00,5015.5 USD/oz,1117.48 CNY/克
02:50:00,5014.6 USD/oz,1117.28 CNY/克
02:55:00,5012.8 USD/oz,1116.87 CNY/克
03:00:00,5015.6 USD/oz,1117.5 CNY/克
03:05:00,5013.0 USD/oz,1116.92 CNY/克
03:10:00,5012.9 USD/oz,1116.9 CNY/克
03:15:00,5012.7 USD/oz,1116.85 CNY/克
03:20:00,5019.5 USD/oz,1118.37 CNY/克
03:25:00,5020.1 USD/oz,1118.5 CNY/克
03:30:00,5021.1 USD/oz,1118.72 CNY/克
03:35:00,5027.2 USD/oz,1120.08 CNY/克
03:40:00,5028.1 USD/oz,1120.28 CNY/克
03:45:00,5026.6 USD/oz,1119.95 CNY/克
03:50:00,5027.4 USD/oz,1120.13 CNY/克
03:55:00,5030.0 USD/oz,1120.71 CNY/克
04:00:00,5030.3 USD/oz,1120.77 CNY/克
04:05:00,5027.6 USD/oz,1120.17 CNY/克
04:10:00,5025.3 USD/oz,1119.66 CNY/克
04:15:00,5027.5 USD/oz,1120.15 CNY/克
04:20:00,5034.4 USD/oz,1121.69 CNY/克
04:25:00,5031.3 USD/oz,1121.0 CNY/克
